标题：为什么说宁德和赛力斯将越来越难和比亚迪竞争
发布者：（见视频页）
链接：https://www.bilibili.com/video/BV14YeH6fEyC
提取方式：匿名 playurl 音频 + Whisper ASR (small)

────────────────────────────────────────

[00:00] 各位观众大家好
[00:02] 今天想聊的这个事情是关于
[00:05] 为什么说您的时代和塞利斯这两家企业将越来越难和比亚地竞争
[00:13] 这个话题主要来自于今天华为发布的一个跟塞利斯的一个重大的新闻
[00:20] 就这两家的合作模式将有一个比较大的变化
[00:23] 具体什么变化呢
[00:26] 这个新闻都有说了很多我这就不展开了
[00:29] 可能就观众会说你一个讲比亚地的讲新能源的
[00:33] 对吧
[00:33] 讲黄金的讲投资的这个不主
[00:37] 你为什么这么关心这个事
[00:39] 因为我觉得这个事情关乎到我投资过程中的一次正道
[00:44] 在今天的B站的动态里我已经说了这个事情了
[00:48] 晚上的这个长视频我就想展开说说
[00:52] 感兴趣的朋友可以去看一下我那个动态
[00:54] 在这一篇的里面我主要想说三个问题
[00:58] 就是第一为什么我就是独独关注这两家企业
[01:01] 第二这个宁德的问题在哪
[01:03] 第三为什么说塞利斯根本就不具备投资价值
[01:08] 那先说第一点就是为什么关注这两个企业呢
[01:11] 是因为在我将近8年的这个投资
[01:15] 这个新能源行业龙头比亚地的这个过程中
[01:18] 一定没法回避的一个问题就是人家问你
[01:22] 为什么不投宁德啊
[01:23] 后来塞利斯起来之后又有人问你不投塞利斯
[01:26] 对吧这两家的企业的股价
[01:29] 都有过一段时间的打掌
[01:31] 对吧让人后悔让人破防
[01:34] 那么这时候需要需要一个能够
[01:37] 穿越长时间周期的理智和判断去区委存真
[01:41] 那去就见别真假
[01:44] 然后去坚守本心
[01:46] 那如果以前你没能做到这一点
[01:49] 那么你现在就应该去反思
[01:51] 为什么我当时看对了新能源行业
[01:54] 却没有能悬到比亚地的股票
[01:56] 对吧我的认知是被谁影响了
[01:59] 被谁控制了
[02:00] 被谁洗脑了
[02:01] 那在我的之前的在加了一些群里
[02:05] 我看到群友发的一张图
[02:07] 就是一个所谓的汽车行业的打位
[02:10] 叫什么占志斌的
[02:11] 我也不知道这个人
[02:12] 但是从他发的那个微博上很有意思
[02:15] 他从事汽车媒体工作
[02:17] 也是看好中国新能源产业
[02:20] 结果他投资了一大堆的新能源车企
[02:23] 什么理想小鹏
[02:24] 赛利斯小米这些都投了
[02:26] 然后亏损吧
[02:27] 从30%到10%不等
[02:30] 那我认为都是挺巨额的亏损
[02:33] 他独独逼过了比亚地
[02:35] 最有可能让他赚钱的比亚地
[02:37] 他单独逼过去了
[02:39] 我认为这就叫什么呢
[02:41] 认知决定命运的一个巨象化的例子
[02:45] 认知水平不到
[02:47] 那这个钱你就真的赚不到
[02:49] 所以我想跟大家说的是
[02:50] 就是不管是一个言论
[02:51] 一个观点
[02:52] 一篇文章
[02:53] 一个人
[02:54] 他有没有远见
[02:56] 他的观点有没有价值
[02:58] 他需要一个长周期的时间去验证
[03:02] 那这种验证
[03:05] 他和你的头衔没有关系
[03:08] 跟你的社会地位没有关系
[03:10] 跟你的流量没有关系
[03:12] 一切都取决于你的话
[03:14] 你的观点
[03:15] 能不能被时间验证
[03:17] 能不能成为一个有规律性的
[03:20] 或者战略层面的
[03:21] 或者更高一层哲学层面的
[03:24] 这种具有指导性的观点
[03:26] 这个非常的重要
[03:27] 就是能不能把一个事情抽象到
[03:30] 一个更高的层级
[03:32] 去讨论他背后的本质
[03:34] 我认为这个能力
[03:35] 其实在这个社会上
[03:37] 很多人他不具备的
[03:38] 那说回来
[03:39] 为什么我就单独是关注这两家企业
[03:42] 因为在投资新能源的投资里面
[03:46] 我认为最具欺骗性的企业
[03:47] 就是这两家
[03:49] 可能会套住很多投资者
[03:52] 比方说这个在雪球上
[03:54] 有一个粉丝很多的一个韭菜
[03:56] 好像叫什么
[03:57] 这个叫省心省地
[03:58] 对吧
[03:59] 他就有宁德的层位
[04:00] 我估计最近可能也亏了不少
[04:02] 那针对这两家企业
[04:04] 其实我分别都写过文章
[04:06] 很早我就在雪球写专辖文章
[04:08] 分别进行评论
[04:09] 一篇是2021年
[04:11] 大概是五年之前
[04:13] 12月26号写过一篇宁德之商
[04:16] 当时宁德时到刚刚创造了
[04:19] 1.5万亿的市值的新高
[04:21] 我的判断
[04:22] 这个就是他长周期的顶点
[04:24] 结果在今年的5月份
[04:25] 他又新高了
[04:27] 那这两天
[04:28] 有快速下跌跌破的前高
[04:30] 有人会说
[04:31] 就是比亚迪的新高
[04:32] 还在2025年的5月份
[04:34] 你怎么不说
[04:35] 对吧
[04:35] 看着还不如您的时代
[04:37] 我觉得这个问题很好
[04:39] 但是你如果看看这俩公司
[04:41] 他现在的状态
[04:43] 我觉得
[04:44] 你可以发现
[04:45] 他基本不可同日而语
[04:47] 宁德时代面临的是什么
[04:49] 他你垄断了
[04:50] 整个汽车行业的利润
[04:51] 现在他是一个汽车行业口诛比法的
[04:54] 一个大的一个
[04:57] 把子
[04:58] 那同时
[04:59] 现在在目前去宁德
[05:01] 这个浪潮
[05:02] 浪潮之下
[05:04] 他仅仅依靠他的电池产业
[05:05] 想象力已经非常有限了
[05:08] 对吧
[05:08] 而且
[05:10] 最关键的是
[05:11] 他的技术不行
[05:12] 他的电池技术竞争不过比亚迪
[05:15] 因为一切新能源行业
[05:17] 领先的技术
[05:18] 都是有比亚迪率
[05:19] 发布的
[05:20] 而反观比亚迪这边
[05:22] 他的各种新技术层属无雄
[05:25] 固态电池
[05:25] 最近又开始预热了
[05:27] 27年
[05:27] 可能要装车养旺
[05:29] 对不对
[05:29] 已经开始做预热宣传了
[05:31] 那就意味着
[05:32] 其实他各方面已经准备好了
[05:34] 这个技术
[05:34] 已经不再是一个实验室技术了
[05:36] 同时
[05:37] 他在智能化
[05:38] 在芯片
[05:38] 在巨身智能体
[05:40] 未来的这种各个
[05:42] 跟人物智能结合的技术上
[05:44] 都在多点开花
[05:46] 所以
[05:47] 宁德时代的故事基本已经结束了
[05:49] 他很难再创新高了
[05:51] 同时我们会发现
[05:52] 他在跟比亚迪的竞争中
[05:54] 会越发的落后
[05:55] 后面我会说具体的原因
[05:57] 回到这篇文章本身
[05:59] 我个人觉得当时写这篇文章
[06:01] 还是不够全面的
[06:02] 因为今天回头看
[06:03] 我认为可能还有更本质的原因
[06:06] 造成比亚迪和宁德
[06:09] 在未来高度上的一个巨大的差异
[06:12] 在这篇里面
[06:13] 我会补充说一下
[06:14] 再说回赛利斯
[06:17] 在一开始
[06:18] 选新浪员企业的时候
[06:20] 如果说一开始选新浪员企业的时候
[06:23] 宁德时代还能让我思考一下
[06:25] 那么赛利斯
[06:26] 就是我
[06:27] 从我刚听到他的故事的时候
[06:29] 我就注定
[06:31] 判断出这个故事
[06:32] 他注定就是个短片小说
[06:35] 同样的我在雪球
[06:36] 2023年12月9日
[06:38] 写过一篇专辖文章
[06:39] 叫
[06:40] 说说比亚迪和赛利斯
[06:41] 其中我就详细说到
[06:42] 为什么
[06:43] 赛利斯根本不具备长期投资价值
[06:46] 当时的现实情况是什么
[06:49] 我为大家回忆一下
[06:50] 当时赛利斯的股价正处于80
[06:54] 80元以上的高位
[06:57] 那互联网上到处都是
[06:58] 吹这个公司的各种言论
[07:00] 对吧
[07:01] 要么就是投赛利斯
[07:02] 就是投华为
[07:03] 要么就是问借是什么科技车黄
[07:06] 当时一众人
[07:07] 一众互联网的博主
[07:09] 什么孙少军
[07:11] 什么曹树
[07:12] 天天聚在一起
[07:13] 就是吹
[07:14] 吹赛利斯
[07:15] 这牛逼
[07:16] 那牛逼
[07:16] 吹鱼大嘴
[07:17] 多牛逼
[07:18] 吹华为
[07:18] 多牛逼
[07:19] 吹华为和赛利斯合作的战略
[07:22] 才是一个样板战略
[07:24] 才是最后华为的造车战略
[07:26] 那你现在回头看
[07:27] 对不对
[07:28] 现在华为已经明确了
[07:30] 和赛利斯的合作的形式
[07:32] 你再回头看看这帮人
[07:35] 他们可能就是带带节奏可以
[07:38] 宣传宣传情绪可以
[07:39] 做做数据可以
[07:41] 那你要谈到企业战略
[07:43] 你要谈到这种穿越时空的战略眼光
[07:46] 这些人就是一帮外行
[07:48] 就是一帮外行
[07:49] 我丝毫不掩饰对他们的鼻翼
[07:51] 对吧
[07:52] 那线下其实也一样
[07:53] 当时我参加过一个
[07:55] 私人银行
[07:56] 私人银行部组织的一个比较高端的投资沙龙
[08:00] 所谓比较高端
[08:01] 在这个上面
[08:02] 听到了很多那种50岁以上的光头大哥
[08:06] 可能也是什么老板
[08:07] 一个个都很自信
[08:09] 对吧
[08:09] 毕竟事业有成
[08:11] 但是这个东西
[08:12] 我就说认知这个东西
[08:13] 跟你社会地位没有关系
[08:15] 你的财富
[08:16] 很多也不是来自认知
[08:18] 对吧
[08:18] 很多来自其他因素的
[08:20] 那这些人就在性质薄薄的
[08:22] 夸夸其谈的谈论塞利斯
[08:24] 对吧
[08:25] 我当时心里
[08:26] 一方面是不懈的
[08:28] 然后另外一方面
[08:29] 也是挺联名这些人的
[08:33] 现在十隔三年
[08:34] 对吧
[08:34] 塞利斯股价从170多跌到45
[08:37] 对吧
[08:38] 又回到了梦开始的地方
[08:40] 腰长的百分之
[08:42] 可能跌了跌去
[08:43] 可能百分之五六十了
[08:44] 对不对
[08:44] 即使这样子
[08:46] 很多人
[08:46] 他还是不能睁眼
[08:48] 看这个事实
[08:49] 他宁可继续亏损
[08:51] 也不愿意动动脑子去想一想
[08:53] 到底是哪些人影响了他们的认知
[08:56] 他们自己为什么
[08:57] 没有独立判断能力
[08:59] 对吧
[08:59] 我前两天看到雪球上
[09:01] 有一个球友去反思
[09:02] 反思他在塞利斯上的投资失败
[09:05] 结果反思到最后
[09:06] 然后不反思他的问题
[09:09] 然后去反思
[09:10] 最后反思到最后
[09:11] 仍然是对比亚迪充满了比
[09:14] 对吧
[09:14] 所以我就只能说
[09:15] 就认知配得上苦
[09:17] 你想让人认错是很难的
[09:19] 想杜仁也是很难的
[09:21] 所以在这样的背景下
[09:24] 回头看这篇文章
[09:25] 我觉得当时
[09:26] 这篇文章挺有意思的
[09:28] 这篇文章的评论区
[09:29] 很多塞利斯的投资者
[09:32] 对我分分不平
[09:34] 一分田赢的来喷
[09:36] 现在三年过去了
[09:37] 对不对
[09:38] 那结果又如何
[09:39] 当时我记得
[09:40] 这篇文章底下的第一条热评
[09:42] 就是一个当时塞利斯投资的
[09:46] 一个意见领袖
[09:47] 在那去喷我说
[09:49] 我如何如何
[09:50] 观点如何如何错误
[09:52] 如何如何韭菜
[09:53] 对不对
[09:54] 那现在看到底谁又是韭菜
[09:56] 对吧
[09:57] 比亚迪的股价也在下跌
[09:59] 但是我认为他将来一定会新高
[10:01] 而且他下跌的幅度
[10:02] 根本就不大
[10:04] 塞利斯从107
[10:05] 已经跌到45了
[10:07] 那后面最难受的是
[10:09] 他后面没有想象力了
[10:11] 这是最关键的
[10:12] 对吧
[10:13] 那关于这篇文章
[10:14] 我认为我当时写的还是很清楚的
[10:16] 那在这个视频里
[10:18] 我也会摘录一部分当时的东西
[10:20] 我再做一些增补
[10:22] 好
[10:22] 下面我们谈第二个问题
[10:23] 就是为什么说
[10:24] 您的时代会越来越难和比亚迪竞争
[10:27] 在之前文章里
[10:28] 我谈到了一个主要的因素
[10:30] 就是任何一家
[10:31] 他有远率的这种下游中单车汽
[10:34] 都不会去放任自己
[10:36] 只受一家供应商的盘拨
[10:38] 对吧
[10:38] 在发展初期
[10:39] 你要快速商量
[10:40] 没得选
[10:41] 但是一旦企业进入平稳期
[10:43] 就一定会去寻求多个合作伙伴
[10:46] 相互制衡
[10:47] 这个是一个很自然的战略
[10:49] 而能够
[10:51] 这种做大做强的这种中端厂商
[10:53] 也希望自己拥有稳定的供应链
[10:55] 对吧
[10:56] 所以我们可以看到
[10:57] 这些主机厂纷纷的
[11:00] 去研发自己的电池
[11:02] 什么打圆柱电池
[11:03] 什么子弹电池等等
[11:05] 对吧
[11:06] 再加上矿成资源的紧张
[11:08] 所以动力电池
[11:09] 这个战场上
[11:10] 指望宁德去保持
[11:12] 并扩大
[11:13] 目前这样的地位不现实
[11:14] 这个是我当时的一个观点
[11:16] 应该说
[11:17] 这个判断
[11:18] 他在现实的发展是有些超出我预期的
[11:21] 就是说
[11:22] 比亚迪给友商的压力
[11:25] 让他们不得不让利于一个垄断的上游
[11:28] 以至他们
[11:29] 根本就没有办法去做一些有利于长期战略的事情
[11:33] 对吧
[11:34] 再加上
[11:35] 宁德时代和华为的这种强绑定
[11:37] 他是途向用户去灌输
[11:40] 宁德时代电池
[11:41] 就是领先的一种思想钢印
[11:43] 那导致什么呢
[11:44] 就是这个认知
[11:46] 确实已经深入了一部分用户的大脑
[11:50] 导致各个主机厂
[11:52] 就不得不
[11:53] 如此限度的去让度自己的利润
[11:57] 让度给宁德
[11:58] 那么这种情况
[12:00] 我们可以问一句
[12:01] 他可持续吗
[12:02] 对不对
[12:03] 那么这种原因能够形成
[12:05] 我认为背后的一个时日性因素
[12:07] 就是因为比亚迪自己在造车
[12:10] 所以
[12:11] 网上有一个观点叫做
[12:12] 宁德现在的这种垄断地位
[12:14] 主因是来源于比亚迪造车
[12:17] 我认为这句话说的一点问题都没有
[12:19] 是非常精闢的
[12:21] 那么另外一个原因
[12:23] 另外一个原因
[12:23] 我认为更为的本质
[12:25] 就是说
[12:28] 不知道大家有没有想过
[12:30] 目前在西东园这个领域
[12:31] 几乎所有的革命性技术
[12:33] 是所有的革命性技术
[12:35] 都是有比亚迪率先发布的
[12:38] 对吧
[12:38] 我们知道有很多什么DMI
[12:40] 什么赵瓦闪冲
[12:42] 什么高电压平台
[12:44] 什么没有方向盘的
[12:46] 没有什么沙车的
[12:48] 这种原型车等等的这些东西
[12:50] 都是比亚迪率先发布的
[12:52] 对不对
[12:53] 那这是偶然的吗
[12:55] 我想问
[12:56] 这背后有没有
[12:57] 不是没有方向盘
[12:58] 是没有转向柱
[12:59] 那我想说
[13:01] 这个是偶然的吗
[13:02] 这背后有没有什么更本质的规律
[13:05] 那我们来分析这件事
[13:07] 他是因为比亚迪的招人比宁德更厉害
[13:10] 比华为更厉害
[13:11] 显然不是
[13:12] 对不对
[13:12] 因为当时做出
[13:15] 这个DMI
[13:16] 做出刀片电池
[13:17] 一代刀片这些团队
[13:18] 他们在入职比亚迪的时候
[13:20] 比亚迪那时候
[13:21] 根本就没有影响力
[13:22] 我估计可能211出身的
[13:24] 这个人都不多
[13:26] 可能更别说985的
[13:28] 哪像现在的
[13:29] 比亚迪今年去
[13:30] 先交大招聘
[13:31] 那各种同学都得站着停
[13:33] 位置都不够坐
[13:34] 对吧
[13:35] 他的人才的人才的这个
[13:37] 这个层次的水平
[13:38] 是上了一个巨大的台阶
[13:40] 那么是比亚迪的这个生产关系
[13:42] 更合理吗
[13:43] 是他研发效率更高吗
[13:46] 我认为有一定这个因素
[13:47] 大家不要被最近的这个
[13:49] 这个风向去影响
[13:50] 这个事情
[13:51] 他比较复杂
[13:52] 我一直没有说
[13:53] 就比亚迪的这个利润讲这个事情
[13:55] 我一直没有谈
[13:56] 是因为这个事情很复杂
[13:58] 而且也比较敏感
[13:59] 而且有很多信息
[14:00] 还不明确
[14:01] 所以我也不想
[14:02] 去贸然的去谈这个事
[14:04] 大家不要被这个事情带节奏
[14:06] 如果客观的去看
[14:08] 就是比亚迪在生产关系这
[14:10] 做的还确实是比其他
[14:12] 其他车企要好得多的
[14:13] 因为比亚迪的员工
[14:14] 都是在边员工
[14:16] 他没有去搞什么人事外包
[14:18] 这种这种花火
[14:19] 对吧
[14:20] 所以比亚迪作为一家民营企业
[14:23] 他当然本质上来讲
[14:24] 和其他企业的生产关系是一样的
[14:27] 对吧
[14:27] 那没有本质的不同
[14:30] 所以我认为
[14:32] 你说他生产关系
[14:34] 使得他的研发效率更高
[14:36] 战斗力更强
[14:37] 我认为也不是主要原因
[14:39] 那主要原因在哪呢
[14:42] 我认为还是得去深入理解
[14:45] 连玉波院是那句话
[14:47] 就是他是在某一次论坛上提到的
[14:49] 我印象非常的深刻
[14:51] 就是哪一次论坛我忘了
[14:52] 他说的原话我记得
[14:54] 就是比亚迪现在的创新
[14:56] 已经从点状创新发展为了面状创新
[14:59] 网状创新
[15:01] 对吧
[15:01] 这句话我觉得信息量极大
[15:03] 从比亚迪近期发布的重磅技术
[15:06] 看不管是二代刀
[15:08] 还是赵瓦闪冲
[15:09] 还是玄机芯片
[15:11] 他早已不是单一领域的技术能够完成的
[15:15] 那就比方说这个赵瓦闪冲
[15:17] 对吧
[15:17] 这是一个
[15:18] 我一直认为这是一个
[15:19] 构得上国家科技进步一等奖的
[15:22] 一等奖极以上的这么一个级别的技术
[15:25] 事实上这个技术也是跟919商业大飞机的首飞
[15:31] 跟北斗订位系统的芯片等等
[15:35] 可以媲美的一个技术
[15:37] 他们都是入选了央视的大国众气的技术
[15:41] 所以他已经具体一个国家科技进步一等奖
[15:44] 这个是绝对不用怀疑的
[15:47] 对吧
[15:48] 至少二等奖以上
[15:50] 所以赵瓦闪冲
[15:52] 我们仔细观察这个技术
[15:53] 为什么是比亚迪显穿
[15:54] 而不是宁德时代
[15:55] 因为这个技术它远远不只电池
