车号,车手,领航,状态,车型,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13,总成绩
101,刘彦贵,,SS1退赛,(未详),2:19:58,2:38:43,,1:00:19,11:06:58,6:30:00,10:00:00,8:30:00,12:00:00,,,,,
102,林德伟,王洋,完赛,JJ-Sport JJ3 T1+,2:14:13,2:41:51,3:55:57,1:03:03,4:31:47,2:37:38,3:13:50,4:01:50,4:56:36,5:13:15,0:14:58,3:34:05,,40:47:41
103,孙平,,SS1退赛,(未详),2:23:43,2:44:34,4:08:24,1:02:15,12:00:00,6:30:00,10:00:00,8:30:00,,,,,,
104,鹿丙龙,高真伟,完赛,JJ-Sport JJ3 T1+,2:18:18,2:36:47,3:56:49,0:58:31,4:33:03,2:34:17,3:24:57,4:06:20,4:44:44,3:59:56,0:15:18,3:28:24,,39:20:26
105,张明,,SS1退赛,(未详),2:25:15,2:49:55,4:12:21,1:05:15,11:25:02,6:30:00,10:00:00,8:30:00,,,,,,
106,范高翔,陈庆开,完赛,JJ-Sport JJ3 T1+,2:23:36,2:54:20,3:50:26,0:59:01,4:29:59,2:35:39,3:11:30,3:57:25,4:53:33,4:08:15,0:16:09,3:34:42,,39:37:35
107,陶永明,王舜,完赛,JJ-Sport JJ3 T1+,2:13:01,2:56:16,7:20:07,0:59:14,4:26:55,6:18:56,7:11:49,6:54:28,5:01:12,4:01:36,0:16:05,3:42:18,,54:29:52
109,曲志彬,,SS1退赛,(未详),2:21:47,4:36:34,7:08:26,1:01:00,12:00:00,6:30:00,10:00:00,4:49:54,12:00:00,,,,,
110,刘亚团,沙贺,完赛,Century CR7,2:23:56,3:42:38,4:14:10,1:03:38,4:56:14,3:19:56,4:13:53,4:32:00,12:00:00,8:40:00,0:16:40,3:47:32,,155:01:11
111,訾荣,潘宏宇,完赛,Prodrive Hunter T1+,2:48:12,3:10:01,4:36:55,1:14:01,5:59:09,3:02:16,3:43:34,4:29:03,5:22:33,4:36:52,0:18:13,3:39:38,,45:26:27
112,张彪彪,,SS1退赛,(未详),2:23:20,2:38:41,4:06:06,3:00:00,,,,,,,,,,
113,许本洋,,SS1退赛,(未详),2:38:50,8:00:00,12:00:00,3:00:00,,,,,,,,,,
115,訾云亮,王毅成,完赛,Toyota GR DKR Hilux EVO,2:23:24,4:34:34,4:16:56,1:10:13,6:14:20,3:00:17,3:36:29,4:24:49,5:36:41,4:27:35,0:17:09,3:57:37,,46:36:14
116,李和鑫,马磊,完赛,FUNIK F4 T1+,6:03:22,3:42:55,4:46:16,1:08:19,6:59:07,6:30:00,4:10:53,8:30:00,5:48:19,4:52:26,0:19:44,4:35:14,,120:56:14
117,孙昊,王东东,完赛,Century CR7,2:51:03,3:16:02,4:28:39,1:04:50,5:57:34,3:13:26,3:42:31,7:04:58,5:23:49,4:29:51,0:20:31,4:14:27,,48:55:46
