车号,厂商/车队,车型,车手,组别,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13
251,长城坦克700·K-MAN车队,坦克700 Hi4-T,尼古拉斯,T2.E,2:50:06,3:10:50,4:56:53,1:11:02,6:51:02,3:26:47,4:08:55,5:23:39,6:22:47,5:56:16,0:19:04,4:30:12,2:51:35
252,长城坦克Hi4车队,坦克700 Hi4-T,保·纳瓦罗,T2.E,2:42:03,3:15:03,4:41:29,1:09:37,54:15:00,3:28:28,51:30:00,5:45:58,6:56:31,5:33:21,0:28:47,4:45:16,2:42:49
253,长城坦克Hi4T车队,坦克700 Hi4-T,杰拉德·法雷斯,T2.E,2:43:21,3:12:13,6:13:19,1:11:59,58:30:00,40:15:00,4:30:42,5:08:51,46:30:00,5:20:19,0:17:22,5:19:12,2:54:24
255,长城坦克Hi4车队,坦克500 Hi4-Z,丽贝卡·布西,T2.E,3:26:24,3:53:59,5:48:56,1:23:36,49:00:00,40:15:00,6:02:06,44:00:00,54:00:00,42:05:00,-,-,-
256,长城坦克Hi4T车队,坦克300 Hi4-T,姚卫强,T2.E,3:02:33,4:05:47,5:16:08,1:11:41,57:45:00,6:28:31,4:44:19,5:38:15,6:31:15,5:54:35,0:21:55,4:56:29,1:58:17
257,长城火炮永利车队,火炮V6,魏尼日勒图,T2.1,2:49:16,3:10:35,4:38:13,1:14:30,7:07:22,3:34:45,4:21:46,5:20:06,6:26:59,6:28:38,0:20:38,5:22:20,2:50:54
258,长城火炮永利车队,火炮V6,那音太,T2.1,2:55:43,4:00:20,5:00:26,1:12:14,49:30:00,3:43:47,-,-,8:06:01,62:05:00,-,-,-
259,长城火炮永利车队,火炮V6,李晓文,T2.1,5:32:16,3:49:15,5:13:38,1:27:42,10:28:02,3:53:32,-,5:54:49,6:59:23,5:21:51,0:34:58,-,-
260,长城坦克700·K-MAN车队,坦克700,刘红武,T2.E,6:33:17,3:19:55,5:16:43,1:16:15,57:00:00,40:15:00,49:15:00,6:12:22,44:45:00,46:20:00,-,-,-
261,长城坦克700·K-MAN车队,坦克700 HEV,王惠军,T2.E,3:08:46,3:31:24,5:24:23,1:20:46,8:10:29,3:49:20,4:11:39,6:37:37,6:00:31,6:08:55,0:19:29,5:17:37,2:56:39
