2026环塔拉级赛T2量产组,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
赛段,SS1排名,车号,厂商/车队,车型,车手,SS1用时,SS1罚时,总用时,组别
SS1,,251,长城坦克700K-MAN车队,坦克700 Hi4-T,尼古拉斯,,,02:50:06,T2.E
SS1,,252,长城坦克Hi4车队,坦克700 Hi4-T,保·纳瓦罗,,,02:42:03,T2.E
SS1,,253,长城坦克Hi4T车队,坦克700 Hi4-T,杰拉德·法雷斯,,,02:43:21,T2.E
SS1,,255,长城坦克Hi4车队,坦克500 Hi4-Z,丽贝卡·布西,,,03:26:24,T2.E
SS1,,256,长城坦克Hi4T车队,坦克300 Hi4-T,姚卫强,,,03:02:33,T2.E
SS1,,257,长城火炮永利车队,火炮V6,魏尼日勒图,,,02:49:16,T2.1
SS1,,258,长城火炮永利车队,火炮V6,那音太,,,02:55:43,T2.1
SS1,,259,长城火炮永利车队,火炮V6,李晓文,,,05:32:16,T2.1
SS1,,260,长城坦克700K-MAN车队,坦克700,刘红武,,,06:33:17,T2.E
SS1,,261,长城坦克700K-MAN车队,坦克700,王惠军,,,03:08:46,T2.E
SS1,,262,长城坦克Hi4车队,坦克300 Hi4-T,马海龙,,,03:32:09,T2.E
SS1,,263,长城坦克Hi4T车队,坦克300 Hi4-T,张剑锋,,,03:19:39,T2.E
SS1,,265,212越野车车队,212 T01,王鹏,,,03:06:11,T2.1
SS1,,266,212越野车车队,212 T01,李强,,,03:19:59,T2.1
SS1,,267,江西五十铃沙蜥越野车队,五十铃D-MAX,王洪江,,,03:13:45,T2.1
SS1,,268,江西五十铃沙蜥越野车队,五十铃D-MAX,梁志辉,,,03:06:57,T2.1
SS1,,269,江西五十铃沙蜥越野车队,五十铃D-MAX T,于泽顺,,,03:09:46,T2.1
SS1,,270,东风猛士车队,猛士M817,杜江伟,,,02:57:39,T2.E
SS1,,271,东风猛士车队,猛士M817,刘飞亮,,,03:10:23,T2.E
SS1,,272,东风猛士车队,猛士M817,钱红宇,,,03:13:51,T2.E
SS1,,273,东风猛士车队,猛士M817,杜军,,,03:17:29,T2.E
SS1,,275,纵横F700赛车队,纵横F700,周元福,,,03:15:09,T2.E
SS1,,276,纵横F700赛车队,纵横F700,李显玉,,,04:39:02,T2.E
SS1,,277,纵横F700赛车队,纵横F700,梁亚洲,,,03:03:34,T2.E
SS1,,278,纵横G700赛车队,纵横G700,孟斌,,,03:30:14,T2.E
SS1,,279,纵横G700赛车队,纵横G700,乌日图那生,,,02:55:49,T2.E
SS1,,280,纵横G700赛车队,纵横G700,张洋,,,07:00:00,T2.E
SS1,,,,,,,,,
,,,,,,,,,
,2026环塔拉力赛T2量产组 成绩单（截至SS2）,,,,,,,,
赛段,SS2排名,车号,厂商/车队,车型,车手,,,SS2用时,组别
SS2,1,253,长城坦克Hi4T车队,坦克700 Hi4-T,杰拉德·法雷斯,,,3:12:13,T2.E
SS2,2,252,长城坦克Hi4车队,坦克700 Hi4-T,保·纳瓦罗,,,3:15:03,T2.E
SS2,3,257,长城火炮永利车队,火炮V6,魏尼日勒图,,,3:10:35,T2.1
