组别,车号,车手,领航,车队,SS1用时,SS2用时,SS3用时,SS4用时,SS5用时,SS6用时,SS7用时,SS8用时,SS9用时,SS10用时,SS11用时,SS12用时,SS13用时,SS1后累计,SS2后累计,SS3后累计,SS4后累计,SS5后累计,SS6后累计,SS7后累计,SS8后累计,SS9后累计,SS10后累计,SS11后累计,SS12后累计,SS13后累计
T1+,201,YAZEED AL RAJHI,TIMO GOTTSCHALK,OVERDRIVE RACING,03:36:41,03:59:12,04:21:23,,,,,,,,,,,03:36:41,07:35:53,11:57:16,,,,,,,,,,
T1+,202,HENK LATEGAN,BRETT CUMMINGS,TOYOTA GAZOO RACING W2RC,03:14:46,03:58:58,04:28:23,04:47:08,04:07:29,03:47:55,03:52:57,04:20:38,04:12:00,05:01:36,06:46:56,03:29:25,00:46:27,03:14:46,07:13:44,11:42:07,16:29:15,20:36:44,24:24:39,28:17:36,32:38:14,36:50:14,41:51:50,48:38:46,52:08:11,52:54:38
T1+,203,SETH QUINTERO,ANDREW SHORT,TOYOTA GAZOO RACING W2RC,03:15:07,03:57:16,05:19:34,05:10:35,04:03:54,03:41:47,03:49:54,04:21:12,04:06:42,05:11:55,02:52:06,03:30:59,00:50:54,03:15:07,07:12:23,12:31:57,17:42:32,21:46:26,25:28:13,29:18:07,33:39:19,37:46:01,42:57:56,45:50:02,49:21:01,50:11:55
T1+,204,TOBY PRICE,ARMAND MONLEON,TOYOTA GAZOO RACING W2RC,03:13:06,04:01:52,04:37:45,05:07:15,04:14:46,03:42:47,03:49:23,04:25:38,03:58:18,05:28:36,02:57:32,03:23:17,00:48:45,03:13:06,07:14:58,11:52:43,16:59:58,21:14:44,24:57:31,28:46:54,33:12:32,37:10:50,42:39:26,45:36:58,49:00:15,49:49:00
T1+,205,ERYK GOCZAL,SZYMON GOSPODARCZYK,ENERGYLANDIA RALLY TEAM,03:21:19,04:04:53,04:19:41,05:05:04,04:06:45,03:45:47,03:52:11,06:07:22,03:46:42,05:46:39,02:53:40,03:25:47,00:49:13,03:21:19,07:26:12,11:45:53,16:50:57,20:57:42,24:43:29,28:35:40,34:43:02,38:29:44,44:16:23,47:10:03,50:35:50,51:25:03
T1+,206,MAREK GOCZAL,MACIEJ MARTON,ENERGYLANDIA RALLY TEAM,03:09:27,04:21:43,04:26:48,05:01:23,04:18:41,03:56:28,03:55:03,04:31:51,04:21:55,05:19:03,02:56:20,03:26:55,00:48:43,03:09:27,07:31:10,11:57:58,16:59:21,21:18:02,25:14:30,29:09:33,33:41:24,38:03:19,43:22:22,46:18:42,49:45:37,50:34:20
T1+,208,LIONEL BAUD,LUCIE BAUD,X-RAID TEAM,03:29:49,04:18:31,05:22:07,05:48:01,05:01:30,04:03:17,04:06:45,04:39:36,04:03:25,06:34:16,03:22:00,03:54:44,00:49:35,03:29:49,07:48:20,13:10:27,18:58:28,23:59:58,28:03:15,32:10:00,36:49:36,40:53:01,47:27:17,50:49:17,54:44:01,55:33:36
T1+,209,MICHAL GOCZAL,DIEGO ORTEGA,ENERGYLANDIA RALLY TEAM,03:20:27,04:03:58,04:23:13,05:07:01,04:56:18,03:51:54,04:09:03,04:27:03,03:54:27,06:02:11,03:03:11,04:07:42,00:51:54,03:20:27,07:24:25,11:47:38,16:54:39,21:50:57,25:42:51,29:51:54,34:18:57,38:13:24,44:15:35,47:18:46,51:26:28,52:18:22
T1+,210,HERNÁN GARCÉS,JUAN PABLO LATRACH,OVERDRIVE RACING,03:34:40,04:29:08,04:53:43,05:47:07,04:13:25,04:18:42,04:19:27,05:03:12,04:41:53,05:28:50,03:17:27,03:46:47,00:53:02,03:34:40,08:03:48,12:57:31,18:44:38,22:58:03,27:16:45,31:36:12,36:39:24,41:21:17,46:50:07,50:07:34,53:54:21,54:47:23
T1+,212,CRISTINA GUTIERREZ,PABLO MORENO,The Dacia Sandriders,03:12:49,04:10:01,04:10:59,05:21:14,04:06:10,03:51:01,03:57:35,04:42:03,04:01:31,05:31:09,03:02:18,03:31:25,00:48:27,03:12:49,07:22:50,11:33:49,16:55:03,21:01:13,24:52:14,28:49:49,33:31:52,37:33:23,43:04:32,46:06:50,49:38:15,50:26:42
T1+,213,SAOOD VARIAWA,FRANÇOIS CAZALET,TOYOTA GAZOO RACING SA,03:12:04,04:04:46,04:22:17,05:09:17,04:10:38,03:49:08,04:12:13,04:20:35,04:13:45,05:14:13,02:54:59,03:48:57,00:47:37,03:12:04,07:16:50,11:39:07,16:48:24,20:59:02,24:48:10,29:00:23,33:20:58,37:34:43,42:48:56,45:43:55,49:32:52,50:20:29
T1+,214,MATHIEU SERRADORI,LOÏC MINAUDIER,CENTURY RACING FACTORY TEAM,03:16:43,04:07:39,04:12:04,05:09:42,04:10:16,03:45:34,03:50:22,04:24:50,04:27:55,04:48:27,03:02:33,03:39:03,00:46:47,03:16:43,07:24:22,11:36:26,16:46:08,20:56:24,24:41:58,28:32:20,32:57:10,37:25:05,42:13:32,45:16:05,48:55:08,49:41:55
T1+,215,BIAOBIAO ZHANG,WENKE MA,JJ-SPORT,03:49:41,05:52:32,04:45:55,06:41:18,04:22:45,39:00:00,46:30:00,05:29:36,04:28:41,05:06:59,03:05:13,04:01:26,00:53:01,03:49:41,09:42:13,14:28:08,21:09:26,25:32:11,64:32:11,111:02:11,116:31:47,121:00:28,126:07:27,129:12:40,133:14:06,134:07:07
T1+,216,BENEDIKTAS VANAGAS,AISVYDAS PALIUKENAS,GURTAM TOYOTA GAZOO RACING BALTICS,03:24:12,04:14:03,04:19:46,05:29:32,28:15:00,,,,,,,,,03:24:12,07:38:15,11:58:01,17:27:33,45:42:33,,,,,,,,
T1+,217,DENIS KROTOV,KONSTANTIN ZHILTSOV,M-SPORT RALLY RAID TEAM,03:11:36,09:51:20,04:13:56,05:37:44,04:09:58,03:56:38,03:56:09,04:31:10,04:48:48,05:01:36,03:02:29,03:56:49,00:49:25,03:11:36,13:02:56,17:16:52,22:54:36,27:04:34,31:01:12,34:57:21,39:28:31,44:17:19,49:18:55,52:21:24,56:18:13,57:07:38
T1+,218,GUY BOTTERILL,ORIOL MENA,TOYOTA GAZOO RACING SA,03:09:52,04:35:10,04:09:55,05:39:13,04:01:49,03:45:36,03:53:32,04:28:30,04:10:47,05:00:09,02:53:09,04:00:53,00:51:55,03:09:52,07:45:02,11:54:57,17:34:10,21:35:59,25:21:35,29:15:07,33:43:37,37:54:24,42:54:33,45:47:42,49:48:35,50:40:30
T1+,219,SÉBASTIEN LOEB,EDOUARD BOULANGER,THE DACIA SANDRIDERS,03:10:50,04:03:23,04:29:57,05:05:02,04:05:27,03:41:26,03:49:49,04:23:37,04:15:36,04:57:47,02:55:42,03:27:05,00:46:22,03:10:50,07:14:13,11:44:10,16:49:12,20:54:39,24:36:05,28:25:54,32:49:31,37:05:07,42:02:54,44:58:36,48:25:41,49:12:03
T1+,220,WEI HAN,LI MA,212 HANWEI MOTORSPORT,03:23:55,04:45:27,04:37:30,05:17:19,04:32:51,04:10:23,04:13:45,04:50:32,04:14:53,05:23:12,03:17:23,04:17:31,00:53:43,03:23:55,08:09:22,12:46:52,18:04:11,22:37:02,26:47:25,31:01:10,35:51:42,40:06:35,45:29:47,48:47:10,53:04:41,53:58:24
T1+,221,MARTIN PROKOP,VIKTOR CHYTKA,ORLEN JIPOCAR TEAM,03:09:16,04:11:31,04:06:59,05:31:53,03:57:00,03:56:29,03:54:15,04:26:09,07:38:17,05:08:11,02:59:05,03:33:50,00:47:32,03:09:16,07:20:47,11:27:46,16:59:39,20:56:39,24:53:08,28:47:23,33:13:32,40:51:49,46:00:00,48:59:05,52:32:55,53:20:27
T1+,222,GUILLAUME DE MÉVIUS,MATHIEU BAUMEL,X-RAID TEAM,03:07:49,04:05:36,06:29:30,08:00:20,04:35:55,04:12:56,03:55:35,04:22:35,04:00:45,05:24:37,02:52:54,04:08:07,01:51:35,03:07:49,07:13:25,13:42:55,21:43:15,26:19:10,30:32:06,34:27:41,38:50:16,42:51:01,48:15:38,51:08:32,55:16:39,57:08:14
