t_s,speed_kmh
0.20,107.0
0.80,125.0
1.00,113.0
2.20,217.0
2.80,188.0
3.00,189.0
3.20,186.0
3.40,176.0
4.20,123.0
4.40,133.0
4.60,123.0
5.00,109.0
5.20,102.0
5.60,92.0
5.80,90.0
6.00,87.0
6.20,86.0
6.60,83.0
7.00,85.0
7.20,87.0
7.40,90.0
7.60,93.0
7.80,98.0
8.40,116.0
8.60,122.0
8.80,130.0
9.80,169.0
10.00,175.0
10.20,180.0
10.40,186.0
10.60,189.0
11.20,199.0
11.80,183.0
12.20,216.0
12.40,210.0
12.60,205.0
12.80,199.0
13.80,182.0
14.00,182.0
14.80,283.0
15.20,185.0
15.40,189.0
15.60,192.0
16.00,199.0
16.20,202.0
16.40,207.0
16.60,212.0
16.80,217.0
17.00,221.0
17.20,226.0
17.40,229.0
17.60,232.0
17.80,235.0
18.00,238.0
18.60,239.0
18.80,232.0
19.00,220.0
19.20,223.0
19.60,163.0
20.00,175.0
20.20,168.0
21.60,113.0
22.00,126.0
22.20,122.0
22.60,116.0
23.40,115.0
23.60,119.0
23.80,123.0
24.00,126.0
24.20,123.0
24.60,163.0
25.40,165.0
25.60,168.0
27.80,136.0
28.00,133.0
28.20,131.0
28.80,112.0
29.00,123.0
29.20,112.0
29.40,112.0
29.60,123.0
29.80,122.0
30.00,122.0
30.40,122.0
30.80,122.0
31.40,133.0
31.60,138.0
32.20,158.0
32.80,176.0
34.00,112.0
34.20,123.0
34.40,113.0
34.80,106.0
35.00,105.0
35.20,105.0
36.00,106.0
36.20,109.0
36.80,123.0
37.00,129.0
37.20,137.0
38.40,168.0
38.60,173.0
38.80,178.0
39.20,189.0
39.60,200.0
39.80,205.0
40.00,209.0
40.40,219.0
40.60,223.0
40.80,227.0
41.00,231.0
41.20,233.0
41.40,237.0
41.80,283.0
42.40,251.0
42.60,263.0
42.80,256.0
43.00,260.0
43.20,262.0
43.40,266.0
43.60,268.0
43.80,272.0
44.00,273.0
44.20,273.0
44.40,275.0
44.60,276.0
44.80,277.0
45.00,280.0
45.20,281.0
45.40,285.0
45.60,285.0
45.80,285.0
46.00,285.0
46.20,277.0
46.40,270.0
46.60,263.0
46.80,255.0
47.20,223.0
47.40,232.0
47.60,225.0
47.80,218.0
48.40,207.0
48.60,206.0
48.80,205.0
49.40,205.0
49.60,207.0
49.80,208.0
50.20,212.0
50.40,215.0
50.60,218.0
50.80,219.0
51.00,221.0
51.20,222.0
51.40,225.0
51.60,227.0
51.80,230.0
52.00,232.0
52.20,235.0
52.40,238.0
53.40,250.0
53.60,253.0
53.80,256.0
54.00,258.0
54.20,260.0
54.60,265.0
54.80,267.0
55.00,270.0
55.20,272.0
55.60,276.0
55.80,279.0
56.00,281.0
56.20,282.0
56.40,285.0
56.60,286.0
56.80,289.0
57.00,290.0
57.20,290.0
57.60,297.0
57.80,299.0
58.00,301.0
58.20,303.0
58.40,306.0
58.60,309.0
59.00,312.0
59.40,316.0
59.80,319.0
60.00,319.0
60.20,320.0
60.60,322.0
60.80,323.0
61.20,325.0
61.60,326.0
61.80,327.0
62.00,328.0
62.20,329.0
62.40,330.0
62.60,330.0
63.00,312.0
63.20,302.0
63.60,276.0
63.80,265.0
64.00,257.0
64.20,250.0
64.80,283.0
65.20,231.0
65.60,236.0
65.80,239.0
66.80,250.0
67.00,252.0
67.20,253.0
67.80,225.0
68.00,213.0
68.20,203.0
68.60,182.0
68.80,175.0
69.20,155.0
69.60,138.0
69.80,131.0
70.00,128.0
70.40,123.0
70.60,120.0
71.20,123.0
71.40,111.0
71.80,83.0
72.20,123.0
72.40,113.0
72.80,72.0
73.20,131.0
73.40,137.0
73.80,173.0
74.20,155.0
74.60,169.0
75.00,180.0
75.20,182.0
75.80,200.0
76.00,208.0
76.20,213.0
76.40,217.0
76.60,222.0
76.80,226.0
77.00,231.0
77.20,235.0
77.60,263.0
78.20,251.0
78.60,256.0
78.80,260.0
79.00,263.0
79.20,267.0
79.40,270.0
79.60,273.0
79.80,275.0
80.00,279.0
80.20,281.0
80.40,283.0
80.60,286.0
80.80,288.0
81.00,288.0
81.20,290.0
81.80,297.0
82.00,300.0
82.20,302.0
82.60,305.0
82.80,307.0
83.00,309.0
83.20,311.0
83.60,313.0
83.80,312.0
84.00,312.0
84.40,308.0
84.60,306.0
84.80,303.0
85.00,300.0
85.20,295.0
85.80,261.0
86.00,250.0
86.40,231.0
86.60,220.0
87.00,203.0
88.00,189.0
88.20,189.0
88.60,199.0
89.00,188.0
92.60,133.0
92.80,126.0
93.20,107.0
93.60,97.0
93.80,95.0
94.00,93.0
94.40,88.0
94.60,86.0
94.80,85.0
95.60,87.0
95.80,89.0
96.00,92.0
96.40,95.0
96.60,92.0
97.00,90.0
97.20,92.0
97.60,97.0
97.80,100.0
98.20,107.0
99.00,132.0
99.60,157.0
100.40,178.0
100.60,186.0
100.80,183.0
101.20,202.0
101.40,207.0
101.80,183.0
102.20,223.0
102.40,228.0
102.60,231.0
102.80,235.0
103.00,239.0
103.60,263.0
103.80,251.0
104.20,257.0
104.40,260.0
104.60,263.0
104.80,265.0
105.00,268.0
105.80,277.0
106.00,279.0
106.40,267.0
106.80,252.0
107.20,230.0
107.40,221.0
107.80,283.0
108.20,199.0
108.60,192.0
108.80,189.0
109.20,188.0
109.40,188.0
109.80,183.0
110.20,199.0
110.60,209.0
110.80,213.0
111.00,216.0
111.20,209.0
111.60,188.0
112.00,169.0
112.20,158.0
112.60,138.0
112.80,132.0
113.20,123.0
114.20,123.0
115.00,122.0
115.20,126.0
116.60,158.0
117.00,168.0
117.20,176.0
117.60,186.0
117.80,192.0
118.60,175.0
119.60,126.0
120.40,107.0
120.80,103.0
121.20,100.0
121.60,102.0
121.80,103.0
122.00,106.0
122.80,126.0
123.00,133.0
123.20,138.0
123.60,150.0
123.80,155.0
124.20,170.0
124.80,183.0
125.20,199.0
125.40,200.0
125.80,190.0
126.00,185.0
126.20,182.0
126.40,179.0
126.60,178.0
126.80,178.0
127.20,176.0
127.40,175.0
127.60,175.0
128.00,175.0
128.20,180.0
128.40,188.0
128.80,202.0
129.00,210.0
129.20,212.0
129.40,210.0
129.60,206.0
129.80,200.0
130.20,185.0
130.40,179.0
130.60,173.0
130.80,170.0
131.20,165.0
131.60,163.0
131.80,159.0
132.00,159.0
132.20,158.0
132.40,159.0
132.60,160.0
134.40,178.0
134.60,182.0
134.80,183.0
135.20,200.0
135.40,206.0
135.60,210.0
135.80,212.0
136.00,217.0
136.20,222.0
136.60,225.0
136.80,217.0
