t_s,speed_kmh,s_m
0.00,101.0,0.0
0.20,107.0,5.8
0.40,112.0,11.9
0.60,118.0,18.2
0.80,125.0,25.0
1.00,134.0,32.2
1.20,142.0,39.9
1.40,151.0,48.0
1.60,157.0,56.6
1.80,163.0,65.4
2.00,170.0,74.7
2.20,174.0,84.2
2.40,180.0,94.1
2.60,184.0,104.2
2.80,188.0,114.5
3.00,189.0,125.0
3.20,186.0,135.4
3.40,176.0,145.5
3.60,167.0,155.0
3.80,154.0,163.9
4.00,147.0,172.3
4.20,140.0,180.2
4.40,133.0,187.8
4.60,123.0,194.9
4.80,117.0,201.6
5.00,109.0,207.9
5.20,102.0,213.8
5.40,96.0,219.2
5.60,92.0,224.5
5.80,90.0,229.5
6.00,87.0,234.4
6.20,86.0,239.2
6.40,84.0,244.0
6.60,83.0,248.6
6.80,84.0,253.2
7.00,85.0,257.9
7.20,87.0,262.7
7.40,90.0,267.6
7.60,93.0,272.7
7.80,98.0,278.0
8.00,104.0,283.6
8.20,110.0,289.6
8.40,116.0,295.9
8.60,122.0,302.5
8.80,130.0,309.5
9.00,140.0,317.0
9.20,147.0,324.9
9.40,154.0,333.3
9.60,162.0,342.1
9.80,169.0,351.3
10.00,175.0,360.8
10.20,180.0,370.7
10.40,186.0,380.9
10.60,189.0,391.3
10.80,193.0,401.9
11.00,195.0,412.7
11.20,199.0,423.6
11.40,204.0,434.8
11.60,207.0,446.2
11.80,211.0,457.8
12.00,215.0,469.7
12.20,216.0,481.6
12.40,210.0,493.5
12.60,205.0,505.0
12.80,199.0,516.2
13.00,194.0,527.1
13.20,191.0,537.8
13.40,187.0,548.3
13.60,184.0,558.6
13.80,182.0,568.8
14.00,182.0,578.9
14.20,181.0,589.0
14.40,181.0,599.1
14.60,182.0,609.1
14.80,182.0,619.3
15.00,184.0,629.4
15.20,185.0,639.7
15.40,189.0,650.1
15.60,192.0,660.6
15.80,196.0,671.4
16.00,199.0,682.4
16.20,202.0,693.5
16.40,207.0,704.9
16.60,212.0,716.5
16.80,217.0,728.4
17.00,221.0,740.6
17.20,226.0,753.0
17.40,229.0,765.7
17.60,232.0,778.5
17.80,235.0,791.4
