frame,t_lap,ocr
0,0.0,GPSSpeedkm/h 101 Drivin
1,0.2,GPSSpeedkm/h 107 Drivin
2,0.4,GPSSpeedkm/h 112 Drivin
3,0.6,GPSSpeedkm/h 118 Drivin
4,0.8,GPSSpeedkm/h 125 Drivin
5,1.0,GPSSpeedkm/h 134 Drivin
6,1.2,GPSSpeedkm/h 142 Drivin
7,1.4,GPSSpeedkm/h 151 Drivin
8,1.6,GPSSpeedkm/h 157 Drivin
9,1.8,GPSSpeedkm/h 163 Drivin
10,2.0,GPSSpeedkm/h 170 Drivin
11,2.2,GPSSpeedkm/h 174 Drivin
12,2.4,GPSSpeedkm/h 180 Drivin
13,2.6,GPSSpeedkm/h 184 Drivin
14,2.8,GPSSpeedkm/h 188 Drivin
15,3.0,GPSSpeedkm/h 189 Drivin
16,3.2,GPSSpeedkm/h 186 Drivin
17,3.4,GPSSpeedkm/h 176 Drivin
18,3.6,GPSSpeedkm/h 167 Drivin
19,3.8,GPSSpeedkm/h 154 Drivin
20,4.0,GPSSpeedkm/h 147 Drivin
21,4.2,GPSSpeedkm/h 140 Drivin
22,4.4,GPSSpeedkm/h 133 Drivin
23,4.6,GPSSpeedkm/h 123 Drivin
24,4.8,GPSSpeedkm/h 117 Drivin
25,5.0,GPSSpeedkm/h 109 Drivin
26,5.2,GPSSpeedkm/h 102 Drivin
27,5.4,GPSSpeedkm/h 096 Drivin
28,5.6,GPSSpeedkm/h 092 Drivin
29,5.8,GPSSpeedkm/h 090 Drivin
30,6.0,GPSSpeedkm/h 087 Drivin
31,6.2,GPSSpeedkm/h 086 Drivin
32,6.4,GPSSpeedkm/h 084 Drivin
33,6.6,GPSSpeedkm/h 083 Drivin
34,6.8,GPSSpeedkm/h 084 Drivin
35,7.0,GPSSpeedkm/h 085 Drivin
36,7.2,GPSSpeedkm/h 087 Drivin
37,7.4,GPSSpeedkm/h 090 Drivin
38,7.6,GPSSpeedkm/h 093 Drivin
39,7.8,GPSSpeedkm/h 098 Drivin
40,8.0,GPSSpeedkm/h 104 Drivin
41,8.2,GPSSpeedkm/h 110
42,8.4,GPSSpeedkm/h 116
43,8.6,GPSSpeedkm/h 122
44,8.8,GPSSpeedkm/h 130
45,9.0,GPSSpeedkm/h 140
46,9.2,GPSSpeedkm/h 147
