lap_t,speed
-2.080,
-2.040,83
-2.000,83
-1.960,82
-1.920,82
-1.880,81
-1.840,81
-1.800,81
-1.760,81
-1.720,81
-1.680,80
-1.640,80
-1.600,80
-1.560,81
-1.520,81
-1.480,81
-1.440,81
-1.400,81
-1.360,83
-1.320,83
-1.280,84
-1.240,84
-1.200,84
-1.160,85
-1.120,85
-1.080,86
-1.040,86
-1.000,86
-0.960,88
-0.920,88
-0.880,87
-0.840,87
-0.800,87
-0.760,89
-0.720,89
-0.680,91
-0.640,91
-0.600,91
-0.560,92
-0.520,92
-0.480,93
-0.440,93
-0.400,93
-0.360,95
-0.320,95
-0.280,96
-0.240,96
-0.200,96
-0.160,98
-0.120,98
-0.080,100
-0.040,100
0.000,100
0.040,102
0.080,102
0.120,103
0.160,103
0.200,103
0.240,105
0.280,105
0.320,107
0.360,107
0.400,107
0.440,110
0.480,110
0.520,112
0.560,112
0.600,112
0.640,115
0.680,115
0.720,119
0.760,119
0.800,119
0.840,122
0.880,122
0.920,126
0.960,126
1.000,126
1.040,129
1.080,129
1.120,133
1.160,133
1.200,133
1.240,136
1.280,136
1.320,140
1.360,140
1.400,140
1.440,143
1.480,143
1.520,146
1.560,146
1.600,146
1.640,150
1.680,150
1.720,153
1.760,153
1.800,153
1.840,156
1.880,156
1.920,159
1.960,159
2.000,159
2.040,161
2.080,161
2.120,162
2.160,162
2.200,162
2.240,163
2.280,163
2.320,164
2.360,164
2.400,164
2.440,164
2.480,164
2.520,162
2.560,162
2.600,162
2.640,160
2.680,160
2.720,158
2.760,158
2.800,158
2.840,155
2.880,155
2.920,154
2.960,154
3.000,154
3.040,152
3.080,152
3.120,150
3.160,150
3.200,150
3.240,148
3.280,148
3.320,147
3.360,147
3.400,147
3.440,144
3.480,144
3.520,142
3.560,142
3.600,142
3.640,140
3.680,140
3.720,138
3.760,138
3.800,138
3.840,135
3.880,135
3.920,133
3.960,133
4.000,133
4.040,130
4.080,130
4.120,128
4.160,128
4.200,128
4.240,125
4.280,125
4.320,122
4.360,122
4.400,122
4.440,120
4.480,120
4.520,117
4.560,117
4.600,117
4.640,114
4.680,114
4.720,111
4.760,111
4.800,111
4.840,108
4.880,108
4.920,106
4.960,106
5.000,106
5.040,103
5.080,103
5.120,101
5.160,101
5.200,101
5.240,99
5.280,99
5.320,97
5.360,97
5.400,97
5.440,95
5.480,95
5.520,94
5.560,94
5.600,94
5.640,92
5.680,92
5.720,90
5.760,90
5.800,90
5.840,88
5.880,88
5.920,87
5.960,87
6.000,87
6.040,86
6.080,86
6.120,85
6.160,85
6.200,85
6.240,85
6.280,85
6.320,84
6.360,84
6.400,84
6.440,83
6.480,83
6.520,82
6.560,82
6.600,82
6.640,82
6.680,82
6.720,81
6.760,81
6.800,81
6.840,81
6.880,81
6.920,81
6.960,81
7.000,81
7.040,80
7.080,80
7.120,80
7.160,80
7.200,80
7.240,81
7.280,81
7.320,81
7.360,81
7.400,81
7.440,82
7.480,82
7.520,83
7.560,83
7.600,83
7.640,85
7.680,85
7.720,86
7.760,86
7.800,86
7.840,87
7.880,87
7.920,88
7.960,88
8.000,88
8.040,89
8.080,89
8.120,91
8.160,91
8.200,91
8.240,92
8.280,92
8.320,93
8.360,93
8.400,93
8.440,94
8.480,94
8.520,96
8.560,96
8.600,96
8.640,98
8.680,98
8.720,100
8.760,100
8.800,100
8.840,102
8.880,102
8.920,104
8.960,104
9.000,104
9.040,106
9.080,106
9.120,108
9.160,108
9.200,108
9.240,111
9.280,111
9.320,113
9.360,113
9.400,113
9.440,116
9.480,116
9.520,119
9.560,119
9.600,119
9.640,122
9.680,122
9.720,125
9.760,125
9.800,125
9.840,128
9.880,128
9.920,131
9.960,131
10.000,131
10.040,134
10.080,134
10.120,137
10.160,137
10.200,137
10.240,141
10.280,141
10.320,145
10.360,145
10.400,145
10.440,148
10.480,148
10.520,152
10.560,152
10.600,152
10.640,156
10.680,156
10.720,159
10.760,159
10.800,159
10.840,161
10.880,161
10.920,163
10.960,163
11.000,163
11.040,164
11.080,164
11.120,166
11.160,166
11.200,166
11.240,167
11.280,167
11.320,169
11.360,169
11.400,169
11.440,170
11.480,170
11.520,172
11.560,172
11.600,172
11.640,173
11.680,173
11.720,174
11.760,174
11.800,174
11.840,175
11.880,175
11.920,176
11.960,176
12.000,176
12.040,177
12.080,177
12.120,178
12.160,178
12.200,178
12.240,179
12.280,179
12.320,180
12.360,180
12.400,180
12.440,181
12.480,181
12.520,182
12.560,182
12.600,182
12.640,183
12.680,183
12.720,185
12.760,185
12.800,185
12.840,186
12.880,186
12.920,187
12.960,187
13.000,187
13.040,187
13.080,187
13.120,187
13.160,187
13.200,187
13.240,187
13.280,187
13.320,186
13.360,186
13.400,186
13.440,184
13.480,184
13.520,182
13.560,182
13.600,182
13.640,181
13.680,181
13.720,179
13.760,179
13.800,179
13.840,177
13.880,177
13.920,176
13.960,176
14.000,176
14.040,174
14.080,174
14.120,172
14.160,172
14.200,172
14.240,170
14.280,170
14.320,168
14.360,168
14.400,168
14.440,166
14.480,166
14.520,164
14.560,164
14.600,164
14.640,162
14.680,162
14.720,160
14.760,160
14.800,160
14.840,158
14.880,158
14.920,157
14.960,157
15.000,157
15.040,156
15.080,156
15.120,155
15.160,155
15.200,155
15.240,154
15.280,154
15.320,154
15.360,154
15.400,154
15.440,153
15.480,153
15.520,153
15.560,153
15.600,153
15.640,152
15.680,152
15.720,152
15.760,152
15.800,152
15.840,152
15.880,152
15.920,153
15.960,153
16.000,153
16.040,153
16.080,153
16.120,154
16.160,154
16.200,154
16.240,156
16.280,156
16.320,158
16.360,158
16.400,158
16.440,161
16.480,161
16.520,163
16.560,163
16.600,163
16.640,165
16.680,165
16.720,167
16.760,167
16.800,167
16.840,170
16.880,170
16.920,172
16.960,172
17.000,172
17.040,175
17.080,175
17.120,177
17.160,177
17.200,177
17.240,179
17.280,179
17.320,182
17.360,182
17.400,182
17.440,183
17.480,183
17.520,186
17.560,186
17.600,186
17.640,188
17.680,188
17.720,189
17.760,189
17.800,189
17.840,191
17.880,191
17.920,194
17.960,194
18.000,194
18.040,194
18.080,194
18.120,197
18.160,197
18.200,197
18.240,198
18.280,198
18.320,201
18.360,201
18.400,201
18.440,203
18.480,203
18.520,203
18.560,203
18.600,203
18.640,204
18.680,204
18.720,205
18.760,205
18.800,205
18.840,204
18.880,204
18.920,204
18.960,204
19.000,204
19.040,205
19.080,205
19.120,205
19.160,205
19.200,205
19.240,205
19.280,205
19.320,206
19.360,206
19.400,206
19.440,205
19.480,205
19.520,204
19.560,204
19.600,204
19.640,204
19.680,204
19.720,204
19.760,204
19.800,204
19.840,205
19.880,205
19.920,205
19.960,205
20.000,205
20.040,204
20.080,204
20.120,205
20.160,205
20.200,205
20.240,205
20.280,205
20.320,205
20.360,205
20.400,205
20.440,205
20.480,205
20.520,206
20.560,206
20.600,206
20.640,204
20.680,204
20.720,202
20.760,202
20.800,202
20.840,199
20.880,199
20.920,197
20.960,197
21.000,197
21.040,194
21.080,194
21.120,192
21.160,192
21.200,192
21.240,189
21.280,189
21.320,185
21.360,185
21.400,185
21.440,182
21.480,182
21.520,178
21.560,178
21.600,178
21.640,174
21.680,174
21.720,170
21.760,170
21.800,170
21.840,166
21.880,166
21.920,162
21.960,162
22.000,162
22.040,158
22.080,158
22.120,156
22.160,156
22.200,156
22.240,153
22.280,153
22.320,151
22.360,151
22.400,151
22.440,148
22.480,148
22.520,147
22.560,147
22.600,147
22.640,145
22.680,145
22.720,143
22.760,143
22.800,143
22.840,142
22.880,142
22.920,141
22.960,141
23.000,141
23.040,139
23.080,139
23.120,139
23.160,139
23.200,139
23.240,137
23.280,137
23.320,135
23.360,135
23.400,135
23.440,133
23.480,133
23.520,130
23.560,130
23.600,130
23.640,130
23.680,130
23.720,128
23.760,128
23.800,128
23.840,125
23.880,125
23.920,123
23.960,123
24.000,123
24.040,120
24.080,120
24.120,118
24.160,118
24.200,118
24.240,116
24.280,116
24.320,115
24.360,115
24.400,115
24.440,114
24.480,114
24.520,113
24.560,113
24.600,113
24.640,112
24.680,112
24.720,110
24.760,110
24.800,110
24.840,110
24.880,110
24.920,109
24.960,109
25.000,109
25.040,109
25.080,109
25.120,108
25.160,108
25.200,108
25.240,107
25.280,107
25.320,106
25.360,106
25.400,106
25.440,105
25.480,105
25.520,105
25.560,105
25.600,105
25.640,104
25.680,104
25.720,105
25.760,105
25.800,105
25.840,106
25.880,106
25.920,107
25.960,107
26.000,107
26.040,108
26.080,108
26.120,110
26.160,110
26.200,110
26.240,111
26.280,111
26.320,113
26.360,113
26.400,113
26.440,114
26.480,114
26.520,116
26.560,116
26.600,116
26.640,118
26.680,118
26.720,119
26.760,119
26.800,119
26.840,121
26.880,121
26.920,123
26.960,123
27.000,123
27.040,125
27.080,125
27.120,127
27.160,127
27.200,127
27.240,128
27.280,128
27.320,131
27.360,131
27.400,131
27.440,133
27.480,133
27.520,135
27.560,135
27.600,135
27.640,137
27.680,137
27.720,140
27.760,140
27.800,140
27.840,143
27.880,143
27.920,146
27.960,146
28.000,146
28.040,149
28.080,149
28.120,152
28.160,152
28.200,152
28.240,154
28.280,154
28.320,156
28.360,156
28.400,156
28.440,156
28.480,156
28.520,155
28.560,155
28.600,155
28.640,155
28.680,155
28.720,153
28.760,153
28.800,153
28.840,151
28.880,151
28.920,149
28.960,149
29.000,149
29.040,147
29.080,147
29.120,146
29.160,146
29.200,146
29.240,144
29.280,144
29.320,142
29.360,142
29.400,142
29.440,141
29.480,141
29.520,140
29.560,140
29.600,140
29.640,139
29.680,139
29.720,139
29.760,139
29.800,139
29.840,137
29.880,137
29.920,135
29.960,135
30.000,135
30.040,134
30.080,134
30.120,131
30.160,131
30.200,131
30.240,129
30.280,129
30.320,127
30.360,127
30.400,127
30.440,125
30.480,125
30.520,123
30.560,123
30.600,123
30.640,120
30.680,120
30.720,118
30.760,118
30.800,118
30.840,117
30.880,117
30.920,116
30.960,116
31.000,116
31.040,117
31.080,117
31.120,116
31.160,116
31.200,116
31.240,115
31.280,115
31.320,115
31.360,115
31.400,115
31.440,115
31.480,115
31.520,113
31.560,113
31.600,113
31.640,113
31.680,113
31.720,113
31.760,113
31.800,113
31.840,112
31.880,112
31.920,111
31.960,111
32.000,111
32.040,111
32.080,111
32.120,111
32.160,111
32.200,111
32.240,113
32.280,113
32.320,113
32.360,113
32.400,113
32.440,114
32.480,114
32.520,115
32.560,115
32.600,115
32.640,113
32.680,113
32.720,112
32.760,112
32.800,112
32.840,112
32.880,112
32.920,110
32.960,110
33.000,110
33.040,109
33.080,109
33.120,108
33.160,108
33.200,108
33.240,107
33.280,107
33.320,106
33.360,106
33.400,106
33.440,107
33.480,107
33.520,108
33.560,108
33.600,108
33.640,108
33.680,108
33.720,108
33.760,108
33.800,108
33.840,109
33.880,109
33.920,110
33.960,110
