filename,time,speed
Xiaomi SU7 Ultra20260819_145057.069.jpg,00:00.72,119
Xiaomi SU7 Ultra20260819_145058.067.jpg,00:01.72,153
Xiaomi SU7 Ultra20260819_145059.067.jpg,00:02.72,158
Xiaomi SU7 Ultra20260819_145100.065.jpg,00:03.72,138
Xiaomi SU7 Ultra20260819_145101.066.jpg,00:04.72,111
Xiaomi SU7 Ultra20260819_145102.067.jpg,00:05.72,90
Xiaomi SU7 Ultra20260819_145103.069.jpg,00:06.72,81
Xiaomi SU7 Ultra20260819_145104.066.jpg,00:07.72,86
Xiaomi SU7 Ultra20260819_145105.065.jpg,00:08.72,100
Xiaomi SU7 Ultra20260819_145106.069.jpg,00:09.72,125
Xiaomi SU7 Ultra20260819_145107.064.jpg,00:10.72,159
Xiaomi SU7 Ultra20260819_145108.065.jpg,00:11.72,174
Xiaomi SU7 Ultra20260819_145109.068.jpg,00:12.72,185
Xiaomi SU7 Ultra20260819_145110.067.jpg,00:13.72,179
Xiaomi SU7 Ultra20260819_145111.066.jpg,00:14.72,160
Xiaomi SU7 Ultra20260819_145112.065.jpg,00:15.72,152
Xiaomi SU7 Ultra20260819_145113.068.jpg,00:16.72,167
Xiaomi SU7 Ultra20260819_145114.065.jpg,00:17.72,189
Xiaomi SU7 Ultra20260819_145115.066.jpg,00:18.72,205
Xiaomi SU7 Ultra20260819_145116.066.jpg,00:19.72,204
Xiaomi SU7 Ultra20260819_145117.065.jpg,00:20.72,202
Xiaomi SU7 Ultra20260819_145118.068.jpg,00:21.72,170
Xiaomi SU7 Ultra20260819_145119.065.jpg,00:22.72,143
Xiaomi SU7 Ultra20260819_145120.065.jpg,00:23.72,128
Xiaomi SU7 Ultra20260819_145121.072.jpg,00:24.5,113
Xiaomi SU7 Ultra20260819_145122.062.jpg,00:25.72,105
Xiaomi SU7 Ultra20260819_145123.064.jpg,00:26.72,119
Xiaomi SU7 Ultra20260819_145124.065.jpg,00:27.72,140
Xiaomi SU7 Ultra20260819_145125.065.jpg,00:28.72,153
Xiaomi SU7 Ultra20260819_145126.067.jpg,00:29.72,139
Xiaomi SU7 Ultra20260819_145127.068.jpg,00:30.72,118
Xiaomi SU7 Ultra20260819_145128.074.jpg,00:31.72,113
Xiaomi SU7 Ultra20260819_145129.065.jpg,00:32.72,112
Xiaomi SU7 Ultra20260819_145130.066.jpg,00:33.72,108
Xiaomi SU7 Ultra20260819_145131.071.jpg,00:34.72,124
Xiaomi SU7 Ultra20260819_145132.072.jpg,00:35.72,147
Xiaomi SU7 Ultra20260819_145133.067.jpg,00:36.72,138
Xiaomi SU7 Ultra20260819_145134.073.jpg,00:37.72,107
Xiaomi SU7 Ultra20260819_145135.064.jpg,00:38.72,99
Xiaomi SU7 Ultra20260819_145136.076.jpg,00:39.72,100
Xiaomi SU7 Ultra20260819_145137.065.jpg,00:40.72,113
Xiaomi SU7 Ultra20260819_145138.065.jpg,00:41.72,129
Xiaomi SU7 Ultra20260819_145139.065.jpg,00:42.72,152
Xiaomi SU7 Ultra20260819_145140.065.jpg,00:43.72,177
Xiaomi SU7 Ultra20260819_145141.066.jpg,00:44.72,204
Xiaomi SU7 Ultra20260819_145142.066.jpg,00:45.72,226
Xiaomi SU7 Ultra20260819_145143.066.jpg,00:46.72,245
Xiaomi SU7 Ultra20260819_145144.069.jpg,00:47.72,253
