t_s,speed_kmh,accel_m_s2,power_kW,power_filt_kW
0.72,119.0,0.000,19.9,343.8
1.72,153.0,9.444,1011.7,405.6
2.72,158.0,1.389,185.3,235.2
3.72,138.0,-5.556,-491.4,-283.9
4.72,111.0,-7.500,-545.8,-460.2
5.72,90.0,-5.833,-343.4,-338.8
6.72,81.0,-2.500,-127.2,-126.4
7.72,86.0,1.389,91.6,80.5
8.72,100.0,3.889,277.2,326.0
9.72,125.0,6.944,609.1,646.5
10.72,159.0,9.444,1053.2,733.0
11.72,174.0,4.167,536.7,675.4
12.72,185.0,3.056,436.1,273.6
13.72,179.0,-1.667,-152.1,-83.1
14.72,160.0,-5.278,-533.2,-293.3
15.72,152.0,-2.222,-194.7,-71.7
16.72,167.0,4.167,512.7,385.3
17.72,189.0,6.111,837.9,678.8
18.72,205.0,4.444,685.7,518.0
19.72,204.0,-0.278,30.3,235.7
20.72,202.0,-0.556,-9.0,-319.0
21.72,170.0,-8.889,-978.2,-561.1
22.72,143.0,-7.500,-696.0,-670.6
23.72,128.0,-4.167,-337.6,-474.7
24.50,113.0,-5.342,-390.4,-280.6
25.72,105.0,-1.821,-113.9,-57.1
26.72,119.0,3.889,332.9,266.5
27.72,140.0,5.833,580.5,440.4
28.72,153.0,3.611,408.0,216.8
29.72,139.0,-3.889,-338.0,-125.3
30.72,118.0,-5.833,-446.0,-290.8
31.72,113.0,-1.389,-88.3,-179.3
32.72,112.0,-0.278,-3.5,-52.2
33.72,108.0,-1.111,-64.8,108.7
34.72,124.0,4.444,394.4,332.1
35.72,147.0,6.389,666.5,284.9
36.72,138.0,-2.500,-206.2,-48.9
37.72,107.0,-8.611,-607.1,-316.1
38.72,99.0,-2.222,-134.9,-236.4
39.72,100.0,0.278,32.9,64.0
40.72,113.0,3.611,293.9,246.0
41.72,129.0,4.444,411.3,465.3
42.72,152.0,6.389,690.6,660.5
43.72,177.0,6.944,879.7,891.3
44.72,204.0,7.500,1103.5,1002.2
45.72,226.0,6.111,1023.4,1037.2
46.72,245.0,5.278,984.9,836.2
47.72,253.0,2.222,500.3,739.5
48.72,265.0,3.333,733.4,689.2
49.72,278.0,3.611,833.7,-65.1
50.72,236.0,-11.667,-1762.4,-578.6
51.72,214.0,-6.111,-807.1,-1144.0
52.72,188.0,-7.222,-862.4,-723.7
53.72,171.0,-4.722,-501.7,-372.1
54.72,177.0,1.667,247.8,50.9
55.72,187.0,2.778,406.6,310.6
56.72,193.0,1.667,277.3,447.4
57.72,208.0,4.167,658.3,596.4
58.72,226.0,5.000,853.5,733.0
59.72,239.0,3.611,687.0,792.6
60.72,254.0,4.167,837.2,771.7
61.72,267.0,3.611,790.9,767.2
62.72,277.0,2.778,673.6,762.7
63.72,289.0,3.333,823.5,752.3
64.60,298.0,2.841,759.6,805.2
65.72,310.0,2.976,832.5,640.6
66.72,312.0,0.556,329.5,-105.1
67.72,281.0,-8.611,-1477.4,-504.2
68.72,271.0,-2.778,-364.8,-1123.7
69.72,234.0,-10.278,-1529.0,-910.3
70.72,211.0,-6.389,-837.0,-855.2
71.72,204.0,-1.944,-199.7,-296.3
72.72,206.0,0.556,147.8,101.6
73.72,213.0,1.944,356.7,180.1
74.72,212.0,-0.278,35.8,-301.7
75.72,170.0,-11.667,-1297.7,-726.5
76.72,132.0,-10.556,-917.7,-884.4
77.72,110.0,-6.111,-437.7,-509.7
78.72,100.0,-2.778,-173.8,-205.4
79.72,99.0,-0.278,-4.7,45.6
80.72,113.0,3.889,315.1,278.4
81.72,133.0,5.556,524.9,516.7
82.72,156.0,6.389,710.0,712.0
83.72,181.0,6.944,901.2,927.9
84.72,209.0,7.778,1172.5,930.7
85.72,224.0,4.167,718.5,922.1
86.72,241.0,4.722,875.3,744.5
87.72,252.0,3.056,639.6,820.2
88.72,268.0,4.444,945.8,810.3
89.72,281.0,3.611,845.6,543.9
90.72,275.0,-1.667,-159.8,-109.5
91.72,251.0,-6.667,-1014.3,-551.1
92.72,238.0,-3.611,-479.2,-433.0
93.72,240.0,0.556,194.6,-120.7
94.72,236.0,-1.111,-77.5,-368.8
95.72,202.0,-9.444,-1223.5,-713.9
96.72,175.0,-7.500,-840.8,-694.5
97.72,173.0,-0.556,-19.3,-375.5
98.72,163.0,-2.778,-266.6,-330.1
99.72,134.0,-8.056,-704.6,-386.8
100.72,125.0,-2.500,-189.4,-231.9
101.72,132.0,1.944,198.3,-80.5
102.72,120.0,-3.333,-250.3,-161.8
103.72,95.0,-6.944,-433.4,-277.6
