No.,MM,SS,FF,SPEED,G,Max G,Min G
1,0,0,0,104,-,1.05,-1.28
2,0,0,32,113,0.80,,
3,0,1,32,143,0.85,,
4,0,2,32,167,0.68,,
5,0,3,32,157,-0.28,,
6,0,4,32,124,-0.94,,
7,0,5,32,96,-0.79,,
8,0,6,32,81,-0.43,,
9,0,7,32,79,-0.06,,
10,0,8,32,96,0.48,,
11,0,9,32,126,0.85,,
12,0,10,32,158,0.91,,
13,0,11,32,177,0.54,,
14,0,12,32,181,0.11,,
15,0,13,32,181,0.00,,
16,0,14,32,159,-0.62,,
17,0,15,32,162,0.09,,
18,0,16,32,174,0.34,,
19,0,17,32,189,0.43,,
20,0,18,32,200,0.31,,
21,0,19,32,201,0.03,,
22,0,20,32,200,-0.03,,
23,0,21,32,173,-0.77,,
24,0,22,32,140,-0.94,,
25,0,23,32,125,-0.43,,
26,0,24,32,103,-0.62,,
27,0,25,32,105,0.06,,
28,0,26,32,123,0.51,,
29,0,27,32,146,0.65,,
30,0,28,32,152,0.17,,
31,0,29,32,148,-0.11,,
32,0,30,32,125,-0.65,,
33,0,31,32,115,-0.28,,
34,0,32,32,116,0.03,,
35,0,33,32,110,-0.17,,
36,0,34,32,125,0.43,,
37,0,35,32,152,0.77,,
38,0,36,32,140,-0.34,,
39,0,37,32,112,-0.79,,
40,0,38,32,96,-0.45,,
41,0,39,32,102,0.17,,
42,0,40,32,125,0.65,,
43,0,41,32,146,0.60,,
44,0,42,32,169,0.65,,
45,0,43,32,191,0.62,,
46,0,44,32,223,0.91,,
47,0,45,32,251,0.79,,
48,0,46,32,264,0.37,,
49,0,47,32,269,0.14,,
50,0,48,32,278,0.26,,
51,0,49,32,261,-0.48,,
52,0,50,32,225,-1.02,,
53,0,51,32,200,-0.71,,
54,0,52,32,174,-0.74,,
55,0,53,32,178,0.11,,
56,0,54,32,190,0.34,,
57,0,55,32,199,0.26,,
58,0,56,32,212,0.37,,
59,0,57,32,227,0.43,,
60,0,58,32,234,0.20,,
61,0,59,32,245,0.31,,
62,1,0,32,258,0.37,,
63,1,1,32,269,0.31,,
64,1,2,32,280,0.31,,
65,1,3,32,291,0.31,,
66,1,4,32,301,0.28,,
67,1,5,32,314,0.37,,
68,1,6,32,295,-0.54,,
69,1,7,32,280,-0.43,,
70,1,8,32,246,-0.96,,
71,1,9,32,213,-0.94,,
72,1,10,32,208,-0.14,,
73,1,11,32,207,-0.03,,
74,1,12,32,218,0.31,,
75,1,13,32,221,0.09,,
76,1,14,32,184,-1.05,,
77,1,15,32,141,-1.22,,
78,1,16,32,111,-0.85,,
79,1,17,32,97,-0.40,,
80,1,18,32,105,0.23,,
81,1,19,32,106,0.03,,
82,1,20,32,125,0.54,,
83,1,21,32,149,0.68,,
84,1,22,32,174,0.71,,
85,1,23,32,201,0.77,,
86,1,24,32,220,0.54,,
87,1,25,32,237,0.48,,
88,1,26,32,253,0.45,,
89,1,27,32,268,0.43,,
90,1,28,32,278,0.28,,
91,1,29,32,291,0.37,,
92,1,30,32,277,-0.40,,
93,1,31,32,248,-0.82,,
94,1,32,32,242,-0.17,,
95,1,33,32,240,-0.06,,
96,1,34,32,210,-0.85,,
97,1,35,32,176,-0.96,,
98,1,36,32,176,0.00,,
99,1,37,32,170,-0.17,,
