t_s,speed_kmh,accel_m_s2,power_kW
1.28,113.0,0.000,19.9
2.28,143.0,8.333,878.8
3.28,167.0,6.667,837.7
4.28,157.0,-2.778,-268.5
5.28,124.0,-9.167,-782.6
6.28,96.0,-7.778,-515.5
7.28,81.0,-4.167,-228.9
8.28,79.0,-0.556,-21.0
9.28,96.0,4.722,336.1
10.28,126.0,8.333,770.2
11.28,158.0,8.889,1038.4
12.28,177.0,5.278,717.8
13.28,181.0,1.111,200.7
14.28,181.0,0.000,57.9
15.28,159.0,-6.111,-647.3
16.28,162.0,0.833,140.0
17.28,174.0,3.333,464.2
18.28,189.0,4.167,623.4
19.28,200.0,3.056,508.2
20.28,201.0,0.278,115.1
21.28,200.0,-0.278,35.0
22.28,173.0,-7.500,-869.0
23.28,140.0,-9.167,-879.3
24.28,125.0,-4.167,-345.1
25.28,103.0,-6.111,-430.2
26.28,105.0,0.556,58.5
27.28,123.0,5.000,460.2
28.28,146.0,6.389,696.7
29.28,152.0,1.667,217.9
30.28,148.0,-1.111,-80.9
31.28,125.0,-6.389,-542.2
32.28,115.0,-2.778,-206.1
33.28,116.0,0.278,43.8
34.28,110.0,-1.667,-111.3
35.28,125.0,4.167,394.2
36.28,152.0,7.500,847.1
37.28,140.0,-3.333,-299.7
38.28,112.0,-7.778,-598.7
39.28,96.0,-4.444,-288.4
40.28,102.0,1.667,136.8
41.28,125.0,6.389,591.3
42.28,146.0,5.833,639.1
43.28,169.0,6.389,815.3
44.28,191.0,6.111,894.7
45.28,223.0,8.889,1505.5
46.28,251.0,7.778,1520.7
47.28,264.0,3.611,831.5
48.28,269.0,1.389,428.2
49.28,278.0,2.500,671.6
50.28,261.0,-4.722,-724.6
51.28,225.0,-10.000,-1495.8
52.28,200.0,-6.944,-911.3
53.28,174.0,-7.222,-839.3
54.28,178.0,1.111,196.0
55.28,190.0,3.333,514.9
56.28,199.0,2.500,426.6
57.28,212.0,3.611,629.8
58.28,227.0,4.167,774.7
59.28,234.0,1.944,435.0
60.28,245.0,3.056,658.0
61.28,258.0,3.611,806.8
62.28,269.0,3.056,746.4
63.28,280.0,3.056,789.1
64.28,291.0,3.056,833.3
65.28,301.0,2.778,815.5
66.28,314.0,3.611,1054.5
67.28,295.0,-5.278,-895.0
68.28,280.0,-4.167,-646.1
69.28,246.0,-9.444,-1520.9
70.28,213.0,-9.167,-1298.2
71.28,208.0,-1.389,-122.7
72.28,207.0,-0.278,40.5
73.28,218.0,3.056,565.8
74.28,221.0,0.833,227.1
75.28,184.0,-10.278,-1281.8
76.28,141.0,-11.944,-1163.3
77.28,111.0,-8.333,-637.3
78.28,97.0,-3.889,-253.0
79.28,105.0,2.222,182.7
80.28,106.0,0.278,38.4
81.28,125.0,5.278,492.8
82.28,149.0,6.667,741.3
83.28,174.0,6.944,910.2
84.28,201.0,7.500,1145.3
85.28,220.0,5.278,919.3
86.28,237.0,4.722,910.2
87.28,253.0,4.444,936.1
88.28,268.0,4.167,953.9
89.28,278.0,2.778,726.4
90.28,291.0,3.611,948.0
91.28,277.0,-3.889,-587.9
92.28,248.0,-8.056,-1287.0
93.28,242.0,-1.667,-163.7
94.28,240.0,-0.556,25.2
95.28,210.0,-8.333,-1157.6
96.28,176.0,-9.444,-1125.6
97.28,176.0,0.000,54.1
98.28,170.0,-1.667,-151.4
99.28,129.0,-11.389,-1016.4
100.28,128.0,-0.278,0.6
101.28,133.0,1.389,159.2
102.28,128.0,-1.389,-100.3
103.28,95.0,-9.167,-603.9
104.28,84.0,-3.056,-170.9
105.28,82.0,-0.556,-21.5
106.28,96.0,3.889,279.4
107.28,88.0,-2.222,-126.5
108.28,100.0,3.333,252.1
109.28,127.0,7.500,701.4
110.28,154.0,7.500,859.0
111.28,188.0,9.444,1323.8
112.28,225.0,10.278,1742.3
113.28,251.0,7.222,1421.7
114.28,278.0,7.500,1658.1
115.28,261.0,-4.722,-724.6
116.28,229.0,-8.889,-1338.8
117.28,206.0,-6.389,-853.7
118.28,181.0,-6.944,-834.1
119.28,165.0,-4.444,-474.2
120.28,171.0,1.667,252.7
121.28,179.0,2.222,338.7
122.28,191.0,3.333,518.1
123.28,150.0,-11.389,-1175.5
124.28,115.0,-9.722,-772.9
125.28,105.0,-2.778,-189.9
126.28,111.0,1.667,150.4
127.28,134.0,6.389,636.2
128.28,151.0,4.722,543.5
129.28,174.0,6.389,841.5
130.28,152.0,-6.111,-621.2
131.28,120.0,-8.889,-734.5
132.28,94.0,-7.222,-468.0
133.28,91.0,-0.833,-40.8
134.28,98.0,1.944,150.2
135.28,124.0,7.222,659.7
136.28,154.0,8.333,950.0
137.28,180.0,7.222,979.8
138.28,168.0,-3.333,-349.2
139.28,151.0,-4.722,-468.6
140.28,157.0,1.667,226.8
141.28,166.0,2.500,341.4
142.28,182.0,4.444,632.8
143.28,166.0,-4.444,-476.7
144.28,144.0,-6.111,-591.0
145.28,145.0,0.278,62.7
146.28,148.0,0.833,123.3
