s_m,v_u9x,v_su7,t_u9x,t_su7,dt_s
0,113.0,119.0,1.28,0.72,0.00
10,121.4,128.0,1.56,0.98,-0.02
20,129.9,137.0,1.84,1.25,-0.03
30,138.3,146.0,2.12,1.51,-0.05
40,145.5,153.3,2.38,1.77,-0.05
50,151.1,154.4,2.62,2.00,-0.05
60,156.6,155.6,2.85,2.23,-0.05
70,162.2,156.7,3.08,2.47,-0.05
80,166.7,157.9,3.31,2.70,-0.05
90,164.5,153.6,3.53,2.94,-0.03
100,162.2,148.7,3.76,3.18,-0.01
110,160.0,143.9,3.98,3.43,0.01
120,157.8,139.0,4.20,3.67,0.03
130,151.6,131.8,4.44,3.95,0.07
140,143.1,124.0,4.70,4.24,0.10
150,134.7,116.2,4.96,4.53,0.13
160,126.2,108.5,5.21,4.84,0.19
170,117.3,101.0,5.52,5.20,0.24
180,108.1,93.4,5.85,5.56,0.27
190,98.9,87.9,6.18,5.95,0.33
200,91.8,84.2,6.56,6.37,0.37
210,85.7,81.4,6.96,6.79,0.39
220,80.8,83.5,7.38,7.22,0.40
230,79.9,85.7,7.83,7.65,0.38
240,79.0,90.6,8.28,8.05,0.33
250,86.0,96.0,8.69,8.44,0.30
260,93.0,102.1,9.10,8.80,0.26
270,101.5,110.1,9.46,9.12,0.22
280,111.3,118.1,9.79,9.44,0.22
290,121.0,126.2,10.11,9.76,0.20
300,129.9,134.8,10.40,10.01,0.17
310,138.1,143.4,10.66,10.26,0.17
320,146.2,152.1,10.91,10.52,0.17
330,154.3,159.6,11.16,10.76,0.16
340,160.2,162.9,11.40,10.98,0.14
350,164.3,166.1,11.61,11.19,0.14
360,168.4,169.4,11.83,11.41,0.14
370,172.5,172.6,12.04,11.63,0.15
380,176.5,175.3,12.26,11.83,0.14
390,177.7,177.5,12.46,12.03,0.14
400,178.5,179.7,12.66,12.24,0.14
410,179.3,181.9,12.86,12.44,0.13
420,180.1,184.1,13.06,12.64,0.13
430,180.9,184.3,13.26,12.84,0.13
440,181.0,183.1,13.46,13.03,0.13
450,181.0,181.9,13.66,13.23,0.13
460,181.0,180.7,13.86,13.43,0.13
470,181.0,179.6,14.06,13.63,0.13
480,181.0,176.9,14.26,13.83,0.13
490,176.9,172.8,14.47,14.04,0.14
500,172.2,168.8,14.68,14.26,0.14
510,167.5,164.8,14.89,14.47,0.14
520,162.9,160.7,15.10,14.68,0.14
530,159.1,158.5,15.32,14.91,0.15
540,159.8,156.6,15.54,15.14,0.16
550,160.5,154.8,15.77,15.37,0.16
560,161.1,152.9,15.99,15.60,0.17
570,161.8,153.6,16.21,15.83,0.18
580,163.8,157.0,16.43,16.06,0.18
590,166.4,160.4,16.65,16.28,0.20
600,169.0,163.8,16.86,16.51,0.21
610,171.5,167.2,17.07,16.73,0.22
620,174.1,171.7,17.29,16.93,0.21
630,177.1,176.1,17.49,17.14,0.21
640,180.1,180.6,17.68,17.34,0.21
650,183.0,185.0,17.88,17.54,0.22
660,186.0,189.3,18.08,17.74,0.22
670,189.0,192.2,18.28,17.92,0.20
680,191.0,195.2,18.47,18.11,0.20
690,193.1,198.1,18.65,18.29,0.20
700,195.1,201.0,18.84,18.47,0.20
710,197.1,203.9,19.02,18.65,0.19
720,199.2,204.9,19.21,18.83,0.19
730,200.1,204.7,19.39,19.01,0.18
740,200.3,204.5,19.57,19.18,0.18
750,200.5,204.4,19.75,19.36,0.17
760,200.6,204.2,19.93,19.54,0.17
770,200.8,204.0,20.11,19.71,0.17
780,201.0,203.7,20.28,19.89,0.16
790,200.8,203.3,20.46,20.07,0.16
800,200.6,203.0,20.64,20.24,0.16
810,200.5,202.6,20.82,20.42,0.16
820,200.3,202.2,21.00,20.60,0.16
830,200.1,200.0,21.18,20.78,0.16
840,197.6,193.8,21.37,20.98,0.17
850,192.4,187.6,21.56,21.17,0.17
860,187.2,181.4,21.75,21.36,0.17
870,182.0,175.2,21.95,21.56,0.17
880,176.8,169.1,22.14,21.76,0.17
890,170.9,162.8,22.34,21.99,0.20
900,163.3,156.6,22.57,22.22,0.20
910,155.7,150.4,22.80,22.45,0.20
920,148.1,144.2,23.03,22.68,0.20
930,140.5,139.8,23.26,22.93,0.23
940,136.2,135.8,23.53,23.20,0.23
950,132.1,131.8,23.80,23.47,0.22
960,128.1,127.8,24.08,23.73,0.22
