t_s,speed_kmh
-0.06,100.0
0.14,103.0
0.94,126.0
1.14,133.0
1.34,140.0
1.54,146.0
2.74,158.0
3.14,150.0
3.54,142.0
3.74,138.0
3.94,133.0
4.14,128.0
4.34,122.0
4.94,106.0
5.34,97.0
5.54,94.0
5.74,90.0
5.94,87.0
6.14,85.0
6.34,84.0
6.54,82.0
6.74,81.0
6.94,81.0
7.14,80.0
7.34,81.0
7.54,83.0
7.74,86.0
7.94,88.0
8.14,91.0
8.34,93.0
8.54,96.0
8.74,100.0
8.94,104.0
9.14,108.0
10.14,137.0
10.34,145.0
11.14,166.0
11.34,169.0
11.54,172.0
11.74,174.0
11.94,176.0
12.14,178.0
12.34,180.0
12.54,182.0
12.74,185.0
13.34,186.0
13.54,182.0
13.74,179.0
13.94,176.0
14.14,172.0
14.34,168.0
14.74,160.0
16.34,158.0
16.94,172.0
17.14,177.0
17.34,182.0
17.54,186.0
17.74,189.0
17.94,194.0
18.34,201.0
18.54,203.0
18.74,205.0
18.94,204.0
19.14,205.0
19.34,206.0
19.54,204.0
19.74,204.0
19.94,205.0
20.14,205.0
20.34,205.0
20.54,206.0
20.74,202.0
21.14,192.0
21.34,185.0
21.54,178.0
21.74,170.0
22.14,156.0
22.74,143.0
23.14,139.0
23.34,135.0
23.54,130.0
23.74,128.0
24.14,118.0
24.74,110.0
24.94,109.0
25.14,108.0
25.34,106.0
25.54,105.0
25.74,105.0
26.14,110.0
26.54,116.0
27.54,135.0
27.74,140.0
27.94,146.0
28.34,156.0
28.94,149.0
29.14,146.0
29.34,142.0
29.54,140.0
29.74,139.0
29.94,135.0
30.14,131.0
30.74,118.0
30.94,116.0
31.14,116.0
32.94,110.0
33.14,108.0
33.34,106.0
33.54,108.0
33.74,108.0
33.94,110.0
34.74,124.0
34.94,128.0
35.14,132.0
35.34,136.0
36.34,153.0
36.54,146.0
36.74,138.0
36.94,132.0
37.14,124.0
37.34,118.0
37.94,105.0
38.14,103.0
38.34,103.0
38.74,99.0
38.94,100.0
39.14,100.0
39.34,99.0
39.54,99.0
39.74,100.0
39.94,102.0
40.14,104.0
40.54,110.0
41.54,126.0
41.74,129.0
41.94,132.0
42.14,136.0
42.94,158.0
43.34,168.0
43.54,173.0
43.74,177.0
43.94,182.0
44.14,188.0
44.34,193.0
44.54,198.0
44.74,204.0
44.94,209.0
45.14,213.0
45.34,218.0
45.54,222.0
45.74,226.0
45.94,231.0
46.14,235.0
46.34,238.0
46.54,242.0
46.74,245.0
46.94,248.0
47.14,251.0
47.34,253.0
47.54,253.0
47.74,253.0
47.94,255.0
48.14,256.0
48.34,258.0
48.54,261.0
48.74,265.0
48.94,267.0
49.14,269.0
49.34,273.0
49.54,275.0
49.74,278.0
