t_s,speed_kmh,power_kW
0.94,126.0,851.0
1.14,133.0,862.2
1.34,140.0,909.3
1.54,146.0,922.3
3.54,142.0,-531.3
3.74,138.0,-582.1
3.94,133.0,-599.6
4.14,128.0,-614.2
4.34,122.0,-609.4
5.34,97.0,-348.5
5.54,94.0,-287.6
5.74,90.0,-250.4
5.94,87.0,-193.3
6.14,85.0,-141.2
6.34,84.0,-108.0
6.54,82.0,-74.8
6.74,81.0,-58.8
6.94,81.0,-13.1
7.14,80.0,39.6
7.34,81.0,108.7
7.54,83.0,173.9
7.74,86.0,212.7
7.94,88.0,217.9
8.14,91.0,225.6
8.34,93.0,265.7
8.54,96.0,310.7
8.74,100.0,361.7
8.94,104.0,406.0
11.14,166.0,509.3
11.34,169.0,471.9
11.54,172.0,449.0
11.74,174.0,406.0
11.94,176.0,378.3
12.14,178.0,383.4
12.34,180.0,422.3
12.54,182.0,444.9
12.74,185.0,488.3
13.34,186.0,-557.1
13.54,182.0,-512.5
13.74,179.0,-522.1
13.94,176.0,-531.0
14.14,172.0,-552.8
14.34,168.0,-588.7
16.94,172.0,853.0
17.14,177.0,829.8
17.34,182.0,786.9
17.54,186.0,770.9
17.74,189.0,749.2
17.94,194.0,758.3
18.34,201.0,589.4
18.54,203.0,277.6
18.74,205.0,242.8
18.94,204.0,183.6
19.14,205.0,69.5
19.34,206.0,51.0
19.54,204.0,30.3
19.74,204.0,49.5
19.94,205.0,127.3
20.14,205.0,146.5
20.34,205.0,-26.8
20.54,206.0,-84.5
20.74,202.0,-599.9
21.14,192.0,-1018.1
21.34,185.0,-1214.9
21.54,178.0,-1171.7
21.74,170.0,-1119.7
23.14,139.0,-386.5
23.34,135.0,-456.0
23.54,130.0,-440.2
23.74,128.0,-475.0
24.74,110.0,-86.4
24.94,109.0,-116.4
25.14,108.0,-115.5
25.34,106.0,-93.7
25.54,105.0,-83.1
25.74,105.0,122.6
26.14,110.0,301.1
27.54,135.0,723.5
27.74,140.0,751.4
27.94,146.0,755.8
28.94,149.0,-457.6
29.14,146.0,-394.4
29.34,142.0,-317.9
29.54,140.0,-300.7
29.74,139.0,-324.9
29.94,135.0,-367.2
30.14,131.0,-468.0
30.74,118.0,-91.3
30.94,116.0,-90.1
31.14,116.0,-90.1
32.94,110.0,-189.7
33.14,108.0,-64.8
33.34,106.0,-24.0
33.54,108.0,77.2
33.74,108.0,138.1
33.94,110.0,120.3
34.74,124.0,487.6
34.94,128.0,504.1
35.14,132.0,520.7
35.34,136.0,537.4
36.54,146.0,-929.3
36.74,138.0,-906.2
36.94,132.0,-843.3
37.14,124.0,-770.5
37.34,118.0,-756.4
37.94,105.0,-83.1
38.14,103.0,-81.8
38.34,103.0,-123.3
38.74,99.0,-55.2
38.94,100.0,14.1
39.14,100.0,4.7
39.34,99.0,4.6
39.54,99.0,60.4
39.74,100.0,136.3
39.94,102.0,177.6
40.14,104.0,260.9
41.54,126.0,377.5
41.74,129.0,423.4
41.94,132.0,433.9
42.14,136.0,473.5
43.34,168.0,800.2
43.54,173.0,793.3
43.74,177.0,863.1
43.94,182.0,923.7
44.14,188.0,992.0
44.34,193.0,1038.8
44.54,198.0,1049.5
44.74,204.0,1046.0
44.94,209.0,1035.0
45.14,213.0,977.0
45.34,218.0,961.9
45.54,222.0,1002.8
45.74,226.0,1002.2
45.94,231.0,984.2
46.14,235.0,959.8
46.34,238.0,884.7
46.54,242.0,856.9
46.74,245.0,846.8
46.94,248.0,766.2
47.14,251.0,612.7
47.34,253.0,405.3
47.54,253.0,310.2
47.74,253.0,310.2
47.94,255.0,434.0
48.14,256.0,580.8
48.34,258.0,732.4
48.54,261.0,841.5
48.74,265.0,833.0
48.94,267.0,841.0
49.14,269.0,798.6
49.34,273.0,865.4
49.54,275.0,692.7
49.74,278.0,-2.0
49.94,277.0,-861.7
50.14,269.0,-1804.3
50.34,260.0,-2386.6
50.54,248.0,-2355.7
50.74,236.0,-1895.5
50.94,228.0,-1258.1
51.14,225.0,-799.6
51.34,222.0,-644.8
51.54,218.0,-676.5
51.74,214.0,-726.6
52.14,206.0,-836.4
52.34,201.0,-1066.8
52.54,195.0,-982.9
52.74,188.0,-880.1
52.94,184.0,-776.6
53.14,180.0,-609.2
53.34,175.0,-577.7
53.54,173.0,-335.0
53.94,170.0,43.9
54.14,172.0,287.5
54.34,173.0,324.3
54.74,177.0,347.6
54.94,179.0,318.7
55.14,180.0,371.6
55.34,182.0,393.6
55.54,185.0,451.0
56.74,193.0,513.0
56.94,195.0,610.8
57.14,198.0,603.1
57.34,202.0,674.2
57.54,204.0,720.2
57.74,208.0,775.5
